,First_max,First_min,Second_max,Second_min,First_distance,Second_distance,Third_distance,mean,stdSpe,type
98,30.3782,-7.555,12.3322,-35.4326,-11,-8,-19,5.8387,11.6643,3
99,29.0241,-12.7241,20.3149,-35.125,-10,-12,-22,6.5445,12.4292,3
100,30.5675,-18.653,17.1645,-35.2895,-13,-11,-24,3.1231,14.4517,3
101,31.5716,-21.3242,15.3672,-34.4028,-15,-12,-27,-0.50642,15.3128,3
102,30.7013,-11.8149,15.3701,-35.4134,-10,-11,-21,6.9114,12.0018,3
103,29.423,-18.9079,13.5598,-33.5799,-12,-10,-22,0.92385,13.1356,3
104,29.4587,-14.5703,14.0457,-34.5827,-11,-9,-20,2.0998,12.1341,3
105,30.436,-13.9363,14.7486,-33.5627,-11,-11,-22,4.2816,12.6108,3
106,30.4216,-22.4384,14.8908,-34.5552,-19,-10,-29,-4.5255,16.716,3
107,28.7801,-11.1247,17.4386,-34.8791,-11,-10,-21,4.8865,12.2787,3
108,29.8454,-19.5159,11.0679,-33.7127,-16,-9,-25,-3.6524,14.7425,3
109,27.3767,-15.3475,13.474,-35.085,-12,-9,-21,1.0856,12.6292,3
110,30.0824,-14.2069,9.1796,-34.2634,-12,-8,-20,1.536,12.7154,3
111,27.8067,-24.9147,-5.6663,-3.4877,-19,-11,-30,-9.2091,14.6099,3
112,30.9712,-15.3398,3.8374,-33.6892,-14,-7,-21,-0.065286,14.2284,3
113,28.6941,-20.5751,12.4402,-33.5201,-18,-9,-27,-3.4295,15.9473,3
114,25.6495,-11.9197,14.6066,-34.9046,-12,-8,-20,1.0355,12.2771,3
115,30.1428,-20.6255,8.7677,-34.403,-18,-10,-28,-4.1126,15.785,3
116,23.4116,-23.3088,11.3627,-33.0222,-15,-9,-24,-5.2684,13.8689,3
117,28.1036,-23.3009,9.6649,-34.3581,-15,-9,-24,-4.6433,13.9811,3
118,32.2391,-21.2787,7.1371,-33.9573,-14,-8,-22,-1.374,14.5056,3
119,26.4445,-20.0491,19.7351,-34.9574,-13,-13,-26,1.915,14.7108,3
120,28.1134,-27.3295,10.3621,-34.4322,-18,-10,-28,-5.8465,15.835,3
121,28.1124,-27.8275,11.3621,-34.027,-18,-11,-29,-5.9002,16.0132,3
122,27.8893,-27.3994,8.136,-32.9448,-21,-9,-30,-8.1671,16.7967,3
123,25.2432,-28.2075,9.1376,-32.9209,-19,-9,-28,-8.6952,15.4822,3
124,27.4453,-27.2495,9.4283,-32.7444,-18,-10,-28,-5.8199,15.8456,3
125,28.6697,-22.2611,11.4908,-33.5616,-18,-10,-28,-4.3086,15.9872,3
126,26.061,-17.7322,10.5637,-33.6513,-14,-8,-22,-1.7015,13.6945,3
127,30.154,-27.7631,6.2358,-33.0991,-18,-8,-26,-7.8328,15.4087,3
128,28.8353,-19.5213,10.6576,-34.4639,-16,-8,-24,-4.6756,14.3785,3
129,28.4936,-20.6341,8.1489,-34.7818,-15,-8,-23,-0.84532,14.8555,3
130,29.8753,-28.0604,19.1603,-33.593,-19,-14,-33,-4.5199,17.698,3
131,28.8043,-26.3313,15.0942,-33.3415,-19,-11,-30,-4.1545,16.9525,3
132,29.8743,-22.682,11.0679,-35.2355,-17,-11,-28,-2.4873,15.9012,3
133,32.9988,-22.5276,13.6655,-35.338,-17,-10,-27,-1.1036,16.5234,3
134,30.4709,-21.0882,11.6594,-34.8507,-16,-10,-26,-0.90728,15.3689,3
135,31.7433,-29.6996,7.2995,-34.052,-21,-11,-32,-8.2705,17.2062,3
136,29.0581,-24.7986,11.228,-34.8029,-16,-10,-26,-3.3914,15.6077,3
137,32.0514,-23.4402,8.0211,-34.2712,-19,-9,-28,-6.071,16.147,3
138,32.3871,-24.7685,10.7018,-35.8008,-17,-11,-28,-3.1422,16.0533,3
139,32.2348,-18.9327,18.3882,-35.7697,-15,-13,-28,3.9976,15.5478,3
140,35.7571,-28.3164,-28.35,-27.196,-25,-2,-27,-5.2102,19.5075,3
141,27.3841,-22.1667,9.4156,-34.418,-14,-10,-24,-2.4438,13.7716,3
142,29.2954,-25.3801,12.3877,-34.5763,-17,-10,-27,-3.9575,15.7859,3
143,28.2084,-22.107,8.8095,-33.1411,-15,-8,-23,-4.4963,14.0348,3
144,29.1197,-21.6351,10.1604,-34.9466,-15,-10,-25,-1.6326,14.7093,3
145,29.9501,-18.4029,8.9443,-34.8016,-17,-8,-25,-2.8819,15.579,3
146,32.3177,-21.3438,4.4168,-35.9449,-16,-8,-24,-3.3877,15.1442,3
147,28.9206,-23.5105,6.9875,-34.4076,-15,-8,-23,-4.4138,14.2327,3
